analysis_type,clone,objective,production_rxn,obj,production_flux,strict_obj,strict_capacity,measured_igg_rate,demand_scale,scaled_igg_demand,capacity_utilization,uses_igg_as_input,mode,status,n_constraints,igG_day14,biomass_capacity,biomass_lb,biomass_status,pfba_total_flux,secondary_obj,group
explanation,High01,fixed_measured_qIgG_pFBA,DM_igg_g,0.0004132519218726113,0.0004132519218726113,0.0005005005005005013,0.0005005005005005013,0.002427339030430438,0.17024895026688122,0.0004132519218726113,0.8256773399014761,True,measured_scaled_demand_pfba,optimal,23,14000,0.0,0.0,not_used,18.88879859210173,18.88879859210173,High
explanation,High02,fixed_measured_qIgG_pFBA,DM_igg_g,0.0004303284475698267,0.0004303284475698267,0.0005005005005005003,0.0005005005005005003,0.0025276422961507043,0.17024895026688122,0.0004303284475698267,0.8597962382445141,True,measured_scaled_demand_pfba,optimal,23,16500,0.0,0.0,not_used,19.688282718448633,19.688282718448633,High
explanation,High03,fixed_measured_qIgG_pFBA,DM_igg_g,0.00045045045045045035,0.00045045045045045035,0.0005005005005005003,0.0005005005005005003,0.0026458339375621813,0.17024895026688122,0.00045045045045045035,0.9000000000000002,True,measured_scaled_demand_pfba,optimal,23,19000,0.0,0.0,not_used,20.727607685488746,20.727607685488746,High
explanation,Low01,fixed_measured_qIgG_pFBA,DM_igg_g,0.00013315896945154218,0.00013315896945154218,0.0005005005005005006,0.0005005005005005006,0.0007821426754338455,0.17024895026688122,0.00013315896945154218,0.2660516209641812,True,measured_scaled_demand_pfba,optimal,23,3500,0.0,0.0,not_used,5.924476140765032,5.924476140765032,Low
explanation,Low02,fixed_measured_qIgG_pFBA,DM_igg_g,0.00014693678148211444,0.00014693678148211444,0.0005005005005005006,0.0005005005005005006,0.0008630701173298116,0.17024895026688122,0.00014693678148211444,0.2935796894012646,True,measured_scaled_demand_pfba,optimal,23,4800,0.0,0.0,not_used,6.513686918487733,6.513686918487733,Low
explanation,Low03,fixed_measured_qIgG_pFBA,DM_igg_g,0.00017772472667436685,0.00017772472667436685,0.0005005005005005005,0.0005005005005005005,0.0010439108517013857,0.17024895026688122,0.00017772472667436685,0.355094003895385,True,measured_scaled_demand_pfba,optimal,23,6200,0.0,0.0,not_used,7.87766187955919,7.87766187955919,Low
explanation,Mother01,fixed_measured_qIgG_pFBA,DM_igg_g,0.00023544170286150798,0.00023544170286150798,0.0005005005005005005,0.0005005005005005005,0.0013829260180014678,0.17024895026688122,0.00023544170286150798,0.47041252231729297,True,measured_scaled_demand_pfba,optimal,23,8000,0.0,0.0,not_used,10.468324881035027,10.468324881035027,Mid
explanation,Mother02,fixed_measured_qIgG_pFBA,DM_igg_g,0.00026714533444142414,0.00026714533444142414,0.0005005005005005005,0.0005005005005005005,0.0015691452665208727,0.17024895026688122,0.00026714533444142414,0.5337563782139655,True,measured_scaled_demand_pfba,optimal,22,9800,0.0,0.0,not_used,11.951059764383714,11.951059764383714,Mid
explanation,Mother03,fixed_measured_qIgG_pFBA,DM_igg_g,0.0002941721282676759,0.0002941721282676759,0.0005005005005005006,0.0005005005005005006,0.001727893933011237,0.17024895026688122,0.0002941721282676759,0.5877559122788163,True,measured_scaled_demand_pfba,optimal,23,11500,0.0,0.0,not_used,13.20406861490033,13.20406861490033,Mid
