clone,EX_glc_e,EX_lac_L_e,EX_gln_L_e,EX_nh4_e,EX_ala_L_e,EX_glu_L_e
High01,-0.03180799344603279,0.0,-0.027818053120854825,0.053999999999999986,0.017999999999999974,0.0
High02,-0.026750472514050203,0.0,-0.028967559448162886,0.036000000000000004,0.00599999999999997,0.0
High03,-0.024861036036036715,0.0,-0.030322072072072062,0.024000000000000028,0.0,0.0
Low01,-0.0022752873110183794,0.0,-0.008963596028630281,0.0828262484493549,-0.01014791190293259,-0.013645598553516361
Low02,-0.00251070878518477,0.0,-0.00989104944546853,0.08317023229010732,-0.011197905179970465,-0.015057493619161156
Low03,-0.003036782404684603,0.0,-0.011963539976085022,0.10030300622342064,-0.013544223695127358,-0.018212519090681865
Mother01,-0.009933973718220857,0.0,-0.015848758228122407,0.12599999999999997,-0.006120814050517994,-0.02
Mother02,-0.01474415172582387,0.0,-0.017982888187924463,0.096,0.0,0.0
Mother03,-0.021289523246150088,0.0,-0.01980219681433859,0.07199999999999994,0.010107444457729374,-0.006312115510935832
